8/1K6/8/P7/8/4k3/8/8,1
8/3N4/8/8/7p/7P/8/2k1K1r1,-1
8/1K6/8/P7/8/3k4/8/8,1
8/1k1K4/p5PN/P4R2/8/6B1/8/1N6,-1
3r4/8/3bPp2/1n1P1Rp1/6Pp/5k1P/n1N5/7K,-1
2r4k/8/4P1P1/r1p3B1/5p1p/1p5P/4K3/8,-1
3n4/k3r3/5p2/2r1nPP1/PR6/2pBP3/P2N4/3K2R1,-1
rnb1k1n1/pp1p2pr/2p1p2p/q5N1/3P2p1/2P1P1P1/1PKQ2B1/RNB4R,1
7k/8/8/1n6/8/2b5/8/5K2,-1
8/2q5/5k2/3p4/rbpPpPPp/2P5/P1N5/4BKR1,1
4r3/B6p/3q1k1r/2P5/b6P/p7/1R3K2/3q4,-1
rnbqkbnr/pp1ppppp/2p5/8/8/N4N2/PPPPPPPP/R1BQKB1R,1
3b2r1/5R2/7r/k1p1N1p1/1pP5/P2p4/R2P4/2K2B2,1
1rq3r1/6bp/p4k2/1n1p1p2/2pPpPP1/2P2N2/PP4KP/R1BB2R1,1
3r4/2pk4/ppn4p/PP1p2q1/2N1Pr2/R2p4/1bP4R/3K2NB,1
2q2r2/6bp/4rk2/p2p1p2/2pPpPPN/PBP5/P5KP/R1B2R2,1
2r1k3/4B3/1R3P2/8/7p/P7/8/7K,1
rnbqkbnr/pppp2p1/7p/5p2/3p4/BP6/P1PQPPPP/RN2KBNR,1
r1nqk2r/2p4p/2pp1pp1/2P1p3/7P/1PbPP2b/P4PR1/4KB2,1
rnbqkbnr/pp1ppppp/2p5/8/8/5P2/PPPPP1PP/RNBQKBNR,1
3b2r1/8/6N1/2p5/1pP1rRp1/Pk1p4/1R1PB3/2K5,1
1nb2bn1/2p1P1pr/rp4P1/2k4p/p1P1B2P/PP1p1PNR/NB1P4/R2K4,1
k7/b7/8/6K1/7p/8/6R1/8,1
r7/3rP1kn/2pp4/pp4p1/3RP1B1/K5Pp/NPN2R2/4B3,1
3B4/8/2k5/p4r1P/P1p3p1/2P1P1R1/7K/8,1
8/8/8/8/7p/7P/3k1K2/8,1
3R4/7r/8/p3k2p/P1p4P/2P1PRK1/8/B7,1
1r6/7P/3pkp2/3pp3/nP6/P1r1P2R/5P2/3K1Bq1,1
k7/8/6N1/p7/PRp1P1p1/2Pr4/7B/6K1,1
6k1/6r1/2p2pP1/1nP1pP2/pp2P1P1/P2N1K1p/R2P3R/2BN1B2,-1
8/8/3K4/8/7p/7P/8/1k6,1
1r5r/2p1q2p/2ppkpP1/2P1p3/nR1P4/1P2P2b/P4P2/3K1B2,1
2b1k2r/R7/p1Pp1p2/P1R2P2/1r4P1/3PP3/2K5/1NB5,-1
5r2/2k5/8/8/7K/P6p/6R1/8,1
r4br1/6p1/1k6/1pp4B/PNP3R1/P2p4/3P4/R1Kn4,1
8/8/8/8/5N1p/7P/n1k2K2/6r1,-1
B7/8/1Q5K/8/8/3k4/2p5/8,1
5kN1/8/p5P1/P7/K1Np1p2/8/1B6/R7,-1
6R1/8/8/p5P1/P2bN2K/k7/8/8,1
5R2/8/1k6/8/8/4K3/8/8,1
5b1r/r1p3p1/NkB5/1p1n3p/p1P2n2/PP1pN2R/3P4/R2K4,1
2b1r3/2p4k/4P3/PR2P3/3p4/1p4P1/4NP2/5K2,1
8/8/p3n1p1/P1kPp2P/4P2N/2P5/1R2K3/1nb5,-1
1R2k3/2r1B3/5P2/8/7p/P7/8/7K,1
8/8/P7/4k2K/2p5/2P5/5Q2/8,1
